ticker,sector
VLO,Energy
VLTO,Industrials
VMC,Materials
VRSK,Industrials
VRSN,Information Technology
VRT,Industrials
VRTX,Health Care
VST,Utilities
VTR,Real Estate
VTRS,Health Care
VZ,Communication Services
WAB,Industrials
WAT,Health Care
WBD,Communication Services
WDAY,Information Technology
WDC,Information Technology
WEC,Utilities
WELL,Real Estate
WFC,Financials
WM,Industrials
WMB,Energy
WMT,Consumer Staples
WRB,Financials
WSM,Consumer Discretionary
WST,Health Care
WTW,Financials
WY,Real Estate
WYNN,Consumer Discretionary
XEL,Utilities
XOM,Energy
XYL,Industrials
XYZ,Financials
YUM,Consumer Discretionary
ZBH,Health Care
ZBRA,Information Technology
ZTS,Health Care
